State,Date,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
SC,585816358,167898.0,731.0,5471.0,341.0,0.0,0.0,39058.0,173369.0,56222.0,293991.0,233952.0,14743.0,6659.0,6059.0,0.0,117.0,4.0,1.0,0.0,257.0,1628.0,345.0,9505.0,2405.0
SD,585816358,20470.0,20805.0,13660.0,15576.0,0.0,0.0,14219.0,0.0,20805.0,106021.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,0.0,0.0
TN,585816358,171258.0,0.0,12153.0,544.0,351.0,0.0,114069.0,178265.0,174286.0,414459.0,232458.0,11502.0,6547.0,3915.0,0.0,225.0,0.0,8.0,0.0,572.0,235.0,848.0,10256.0,398.0
TX,585816358,58020.0,164175.0,13268.0,0.0,0.0,0.0,2586.0,2385872.0,162442.0,196271.0,2384514.0,48505.0,5831.0,1909.0,3729.0,247.0,0.0,0.0,0.0,61.0,35947.0,3699.0,8183.0,36657.0
UT,565615946,10306.0,111081.0,8540.0,9844.0,13761.0,0.0,44008.0,40361.0,150506.0,176554.0,41832.0,3018.0,1087.0,55.0,485.0,98.0,127.0,116.0,0.0,157.0,1080.0,485.0,1453.0,87.0
VA,565615946,177459.0,218485.0,21373.0,773.0,0.0,2066.0,127318.0,325858.0,367285.0,442997.0,321109.0,34086.0,18617.0,7463.0,1958.0,1041.0,18.0,0.0,2.0,2047.0,2940.0,3234.0,25984.0,3907.0
VI,565615946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0
VT,565615946,1775.0,51.0,769.0,39.0,0.0,0.0,430.0,914.0,777.0,24746.0,2097.0,1393.0,1293.0,0.0,0.0,52.0,0.0,0.0,0.0,46.0,2.0,2.0,1376.0,15.0
WA,565615946,28860.0,189921.0,32170.0,7368.0,12332.0,8020.0,10400.0,204738.0,185883.0,271980.0,195314.0,30535.0,20173.0,927.0,3046.0,2615.0,369.0,238.0,377.0,616.0,2174.0,2960.0,24225.0,2024.0
WI,565615946,100415.0,0.0,20004.0,5468.0,0.0,0.0,61496.0,59825.0,163790.0,320999.0,66211.0,15849.0,10719.0,4095.0,0.0,411.0,204.0,0.0,0.0,158.0,262.0,1583.0,13949.0,317.0
WV,565615946,4252.0,0.0,0.0,0.0,0.0,0.0,8017.0,24.0,0.0,0.0,0.0,1740.0,1103.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0
WY,565615946,254.0,2891.0,144.0,5906.0,50.0,0.0,802.0,2808.0,2969.0,18585.0,2795.0,351.0,110.0,0.0,16.0,0.0,117.0,0.0,0.0,0.0,108.0,16.0,233.0,16.0
